# Blocks-15.0.0.txt
# 日期：2022-01-28, 20:58:00 GMT [KW]
# © 2022 Unicode®, Inc.
# 使用条款详见 https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# 相关文档详见 https://www.unicode.org/reports/tr44/
#
# 格式:
# 始码..终码; 始码、译名(|例字)|区段名

# ================================================

# 注意：区段(Block)名对比时，忽略大小写、空格、连字符和下划线。例如，"Latin Extended-A"等价于"latin extended a"。
# 	关于属性值对比，详见 UAX #44: https://www.unicode.org/reports/tr44/
#
#  所有区段起始值为 (cp MOD 16) = 0，结束值为 (cp MOD 16) = 15。换言之，区段始码末尾16进制数为...0，终码则为...F。这确保区段总被整列地分配且码表不被中断。
#
#  所有未明列为区段的码位(code point)，其值皆为 No_Block。

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

# ------------------------------------------------
# 路线图区段名标注：
#	〓标示此区段尚为路线图。
#	【已正式被UTC或WG2接受的】
#	(已正式向UTC或WG2提案的)
#	¿尚未编写详细提案的?
#	~标示码位有冲突~
#	¿¿¿欠分配的???
#	✱标示此区段有意外用途，未来码位或有冲突。

11E00..11E6F; 〓11E0?焉耆-龟兹(吐火罗)(Tocharian)
11E70..11ECF; 〓11E7?于阗(Khotanese)
11EE0..11EFF; 11EE0望加锡|𑻪𑻢𑻪𑻢|Makasar
11F00..11F5F; 11F00克维|𑼒𑼮𑼶|Kawi
11F60..11FAF; 〓11F6?帕拉瓦(Pallava)
11FB0..11FBF; 11FB0傈僳补充|Lisu Supplement
11FC0..11FFF; 11FC0泰米尔补充|Tamil Supplement
12000..123FF; 12000楔形文字|Cuneiform
12400..1247F; 12400楔形数字及标点|Cuneiform Numbers and Punctuation
12480..1254F; 12480早王朝楔形文字|Early Dynastic Cuneiform
12580..12DFF; 〓1258?原始楔形文字(Proto-Cuneiform)
12E00..12F8F; 〓12E0?印度河文(Indus)
12F90..12FFF; 12F90塞浦路斯-米诺斯|Cypro-Minoan
13000..1342F; 13000埃及圣书体|Egyptian Hieroglyphs
13430..1345F; 13430埃及圣书体格式控制符|Egyptian Hieroglyph Format Controls
13480..143FF; 〓1348?埃及圣书体扩充甲(Egyptian Hieroglyphs Extended-A)
14400..1467F; 14400安纳托利亚意音文字|Anatolian Hieroglyphs
14680..151FF; 〓1468?埃及圣书体扩充乙(Egyptian Hieroglyphs Extended-B)
15500..15AFF; 〓1550?玛雅意音文字(Mayan Hieroglyphs)
15B00..15B3F; 〓15B0?楠榜(Lampung)
15B40..15B6F; 〓15B4?葛林芝(Kerinci)
15B80..15FFF; 〓15B8?曼东贝(Mandombe)
16000..1607F; 〓1600?奇尔斯(Cirth)
16080..160FF; 〓1608?滕格瓦(Tengwar)
16100..1613F; 〓16100古隆凯玛【Gurung Khema】
